"","assigned_to_cluster","timestamp"
"1153",2,"2016-10-21 06:04:43"
"1154",NA,"2016-10-21 06:02:58"
"1155",11,"2016-10-21 04:33:30"
"1156",13,"2016-10-21 04:12:05"
"1157",NA,"2016-10-21 03:39:07"
"1158",13,"2016-10-21 03:02:14"
"1159",11,"2016-10-21 03:02:04"
"1160",NA,"2016-10-21 02:48:47"
"1161",4,"2016-10-21 02:30:43"
"1162",13,"2016-10-21 02:28:54"
"1163",5,"2016-10-21 01:10:39"
"1164",4,"2016-10-21 00:44:02"
"1165",NA,"2016-10-21 00:28:33"
"1166",NA,"2016-10-21 00:11:52"
"1167",NA,"2016-10-20 23:34:18"
"1168",2,"2016-10-20 23:24:24"
"1169",11,"2016-10-20 23:14:21"
"1170",NA,"2016-10-20 23:11:19"
"1171",11,"2016-10-20 23:04:00"
"1172",4,"2016-10-20 22:50:10"
"1173",NA,"2016-10-20 22:38:38"
"1174",NA,"2016-10-20 22:25:18"
"1175",NA,"2016-10-20 20:32:18"
"1176",11,"2016-10-20 19:50:36"
"1177",NA,"2016-10-20 18:48:43"
"1178",NA,"2016-10-20 18:33:27"
"1179",4,"2016-10-20 18:18:15"
"1180",NA,"2016-10-20 17:46:48"
"1181",1,"2016-10-20 17:37:19"
"1182",NA,"2016-10-20 17:33:34"
"1183",11,"2016-10-20 17:27:42"
"1184",4,"2016-10-20 17:24:03"
"1185",NA,"2016-10-20 17:17:42"
"1186",4,"2016-10-20 17:11:49"
"1187",5,"2016-10-20 17:02:48"
"1188",11,"2016-10-20 16:59:42"
"1189",11,"2016-10-20 16:58:01"
"1190",NA,"2016-10-20 16:53:10"
"1191",2,"2016-10-20 16:44:50"
"1192",NA,"2016-10-20 16:44:17"
"1193",2,"2016-10-20 16:42:10"
"1194",9,"2016-10-20 16:23:09"
"1195",4,"2016-10-20 16:19:23"
"1196",11,"2016-10-20 15:55:29"
"1197",14,"2016-10-20 15:52:21"
"1198",11,"2016-10-20 15:51:16"
"1199",NA,"2016-10-20 15:44:44"
"1200",11,"2016-10-20 15:34:54"
"1201",NA,"2016-10-20 15:13:42"
"1202",14,"2016-10-20 14:56:12"
"1203",NA,"2016-10-20 14:49:19"
"1204",5,"2016-10-20 14:28:53"
"1205",1,"2016-10-20 14:26:53"
"1206",11,"2016-10-20 14:10:53"
"1207",NA,"2016-10-20 14:07:18"
"1208",13,"2016-10-20 13:50:17"
"1209",5,"2016-10-20 13:40:39"
"1210",NA,"2016-10-20 13:16:09"
"1211",2,"2016-10-20 13:06:42"
"1212",NA,"2016-10-20 05:00:08"
"1213",10,"2016-10-20 04:39:48"
"1214",10,"2016-10-20 04:39:04"
"1215",10,"2016-10-20 04:38:26"
"1216",14,"2016-10-20 03:53:19"
"1217",NA,"2016-10-20 03:46:38"
"1218",NA,"2016-10-20 03:22:53"
"1219",NA,"2016-10-20 03:22:38"
"1220",NA,"2016-10-20 02:58:18"
"1221",NA,"2016-10-20 02:50:05"
"1222",12,"2016-10-20 02:44:24"
"1223",5,"2016-10-20 02:39:10"
"1224",5,"2016-10-20 02:35:05"
"1225",5,"2016-10-20 02:32:34"
"1226",13,"2016-10-20 01:41:16"
"1227",NA,"2016-10-20 01:32:57"
"1228",NA,"2016-10-20 00:28:58"
"1229",11,"2016-10-19 23:34:20"
"1230",NA,"2016-10-19 22:25:13"
"1231",8,"2016-10-19 22:08:36"
"1232",NA,"2016-10-19 22:05:57"
"1233",NA,"2016-10-19 21:25:30"
"1234",4,"2016-10-19 21:03:52"
"1235",4,"2016-10-19 20:37:31"
"1236",NA,"2016-10-19 20:20:40"
"1237",11,"2016-10-19 19:45:18"
"1238",11,"2016-10-19 19:44:52"
"1239",NA,"2016-10-19 19:35:42"
"1240",5,"2016-10-19 18:05:27"
"1241",14,"2016-10-19 17:57:46"
"1242",NA,"2016-10-19 17:55:16"
"1243",1,"2016-10-19 17:35:43"
"1244",NA,"2016-10-19 17:19:32"
"1245",NA,"2016-10-19 16:59:57"
"1246",13,"2016-10-19 16:47:32"
"1247",13,"2016-10-19 16:41:37"
"1248",1,"2016-10-19 16:37:57"
"1249",NA,"2016-10-19 16:33:28"
"1250",NA,"2016-10-19 16:32:01"
"1251",NA,"2016-10-19 16:18:39"
"1252",NA,"2016-10-19 16:11:26"
"1253",9,"2016-10-19 15:58:04"
"1254",1,"2016-10-19 15:55:04"
"1255",NA,"2016-10-19 15:51:59"
"1256",NA,"2016-10-19 15:38:13"
"1257",NA,"2016-10-19 15:10:53"
"1258",NA,"2016-10-19 13:49:49"
"1259",NA,"2016-10-19 12:41:15"
"1260",NA,"2016-10-19 12:35:30"
"1261",11,"2016-10-19 12:03:00"
"1262",NA,"2016-10-19 11:54:56"
"1263",10,"2016-10-19 11:42:39"
"1264",NA,"2016-10-19 01:51:05"
"1265",13,"2016-10-19 01:06:03"
"1266",12,"2016-10-19 00:39:57"
"1267",NA,"2016-10-19 00:18:34"
"1268",11,"2016-10-19 00:13:10"
"1269",11,"2016-10-19 00:11:42"
"1270",2,"2016-10-19 00:03:56"
"1271",NA,"2016-10-18 23:15:49"
"1272",3,"2016-10-18 22:55:09"
"1273",11,"2016-10-18 22:25:16"
"1274",NA,"2016-10-18 21:37:45"
"1275",13,"2016-10-18 21:16:38"
"1276",11,"2016-10-18 20:56:07"
"1277",NA,"2016-10-18 20:50:21"
"1278",NA,"2016-10-18 20:23:50"
"1279",1,"2016-10-18 19:12:01"
"1280",NA,"2016-10-18 18:51:17"
"1281",NA,"2016-10-18 18:38:31"
"1282",13,"2016-10-18 18:38:20"
"1283",10,"2016-10-18 18:35:55"
"1284",NA,"2016-10-18 18:35:34"
"1285",10,"2016-10-18 17:30:09"
"1286",NA,"2016-10-18 17:24:46"
"1287",7,"2016-10-18 17:07:36"
"1288",4,"2016-10-18 17:02:41"
"1289",6,"2016-10-18 14:42:53"
"1290",6,"2016-10-18 14:37:52"
"1291",6,"2016-10-18 14:37:48"
"1292",11,"2016-10-18 14:32:02"
"1293",2,"2016-10-18 14:09:07"
"1294",10,"2016-10-18 12:38:16"
"1295",13,"2016-10-18 12:19:44"
"1296",NA,"2016-10-18 01:27:39"
"1297",NA,"2016-10-18 01:19:04"
"1298",NA,"2016-10-18 01:16:48"
"1299",13,"2016-10-18 01:12:53"
"1300",14,"2016-10-18 00:55:50"
"1301",11,"2016-10-18 00:42:59"
"1302",14,"2016-10-18 00:36:41"
"1303",4,"2016-10-18 00:27:40"
"1304",7,"2016-10-18 00:11:43"
"1305",NA,"2016-10-17 23:48:34"
"1306",4,"2016-10-17 23:33:23"
"1307",2,"2016-10-17 22:47:14"
"1308",NA,"2016-10-17 22:38:51"
"1309",NA,"2016-10-17 21:23:49"
"1310",13,"2016-10-17 21:22:22"
"1311",NA,"2016-10-17 21:13:16"
"1312",NA,"2016-10-17 21:08:44"
"1313",NA,"2016-10-17 21:01:12"
"1314",NA,"2016-10-17 20:53:54"
"1315",5,"2016-10-17 20:49:08"
"1316",NA,"2016-10-17 20:47:41"
"1317",NA,"2016-10-17 20:45:55"
"1318",NA,"2016-10-17 20:41:01"
"1319",NA,"2016-10-17 20:36:10"
"1320",NA,"2016-10-17 20:26:49"
"1321",NA,"2016-10-17 20:23:25"
"1322",NA,"2016-10-17 20:02:29"
"1323",NA,"2016-10-17 20:01:07"
"1324",7,"2016-10-17 01:03:31"
"1325",13,"2016-10-17 00:32:07"
"1326",5,"2016-10-17 00:30:55"
"1327",NA,"2016-10-16 23:56:01"
"1328",13,"2016-10-16 23:37:51"
"1329",9,"2016-10-16 23:06:31"
"1330",NA,"2016-10-16 22:38:35"
"1331",14,"2016-10-16 19:01:15"
"1332",3,"2016-10-16 18:29:20"
"1333",NA,"2016-10-16 18:23:05"
"1334",NA,"2016-10-16 17:48:13"
"1335",NA,"2016-10-16 17:34:47"
"1336",11,"2016-10-16 16:03:41"
"1337",1,"2016-10-16 15:44:46"
"1338",14,"2016-10-16 15:16:25"
"1339",11,"2016-10-16 09:34:12"
"1340",14,"2016-10-16 06:10:00"
"1341",NA,"2016-10-16 05:45:55"
"1342",NA,"2016-10-16 05:34:18"
"1343",NA,"2016-10-16 05:13:21"
"1344",NA,"2016-10-16 03:51:26"
"1345",NA,"2016-10-16 03:15:50"
"1346",NA,"2016-10-16 02:51:19"
"1347",4,"2016-10-16 02:20:08"
"1348",11,"2016-10-15 23:59:15"
"1349",NA,"2016-10-15 23:55:00"
"1350",9,"2016-10-15 22:46:02"
"1351",NA,"2016-10-15 22:39:06"
"1352",3,"2016-10-15 21:01:30"
"1353",NA,"2016-10-15 20:45:02"
"1354",4,"2016-10-15 20:15:10"
"1355",NA,"2016-10-15 19:59:50"
"1356",NA,"2016-10-15 18:25:52"
"1357",14,"2016-10-15 18:14:56"
"1358",NA,"2016-10-15 18:12:46"
"1359",NA,"2016-10-15 17:35:24"
"1360",10,"2016-10-15 17:17:45"
"1361",10,"2016-10-15 17:09:24"
"1362",NA,"2016-10-15 15:11:15"
"1363",NA,"2016-10-15 05:26:30"
"1364",13,"2016-10-15 05:05:18"
"1365",NA,"2016-10-15 04:46:45"
"1366",4,"2016-10-15 03:01:45"
"1367",10,"2016-10-15 02:32:26"
"1368",11,"2016-10-15 02:27:32"
"1369",NA,"2016-10-15 01:33:30"
"1370",10,"2016-10-15 01:26:48"
"1371",10,"2016-10-15 01:14:19"
"1372",4,"2016-10-15 00:29:10"
"1373",11,"2016-10-14 23:32:13"
"1374",13,"2016-10-14 23:23:20"
"1375",5,"2016-10-14 23:07:43"
"1376",13,"2016-10-14 22:41:26"
"1377",10,"2016-10-14 22:27:30"
"1378",11,"2016-10-14 21:18:23"
"1379",11,"2016-10-14 19:52:42"
"1380",NA,"2016-10-14 19:27:33"
"1381",13,"2016-10-14 17:34:52"
"1382",1,"2016-10-14 16:09:57"
"1383",11,"2016-10-14 14:48:22"
"1384",11,"2016-10-14 14:48:04"
"1385",NA,"2016-10-14 14:23:55"
"1386",13,"2016-10-14 11:10:51"
"1387",NA,"2016-10-14 07:13:33"
"1388",NA,"2016-10-14 06:55:02"
"1389",8,"2016-10-14 05:59:28"
"1390",NA,"2016-10-14 04:33:22"
"1391",NA,"2016-10-14 03:33:05"
"1392",4,"2016-10-14 03:24:51"
"1393",11,"2016-10-14 02:47:58"
"1394",NA,"2016-10-14 01:34:09"
"1395",13,"2016-10-14 01:31:44"
"1396",NA,"2016-10-13 23:44:13"
"1397",13,"2016-10-13 23:26:16"
"1398",NA,"2016-10-13 23:19:43"
"1399",13,"2016-10-13 23:19:27"
"1400",2,"2016-10-13 23:05:03"
"1401",4,"2016-10-13 22:48:03"
"1402",NA,"2016-10-13 22:05:03"
"1403",14,"2016-10-13 22:04:49"
"1404",4,"2016-10-13 21:56:16"
"1405",NA,"2016-10-13 21:37:45"
"1406",12,"2016-10-13 21:04:17"
"1407",11,"2016-10-13 20:50:54"
"1408",NA,"2016-10-13 20:40:42"
"1409",NA,"2016-10-13 19:34:38"
"1410",NA,"2016-10-13 18:49:10"
"1411",4,"2016-10-13 18:16:02"
"1412",NA,"2016-10-13 17:32:47"
"1413",11,"2016-10-13 17:13:12"
"1414",NA,"2016-10-13 15:23:06"
"1415",NA,"2016-10-13 15:08:56"
"1416",12,"2016-10-13 14:37:22"
"1417",4,"2016-10-13 12:22:30"
"1418",4,"2016-10-13 10:48:26"
"1419",13,"2016-10-13 10:33:46"
"1420",13,"2016-10-13 08:47:58"
"1421",7,"2016-10-13 06:23:32"
"1422",NA,"2016-10-13 05:16:19"
"1423",NA,"2016-10-13 04:10:16"
"1424",NA,"2016-10-13 04:03:20"
"1425",13,"2016-10-13 03:34:45"
"1426",13,"2016-10-13 03:15:17"
"1427",13,"2016-10-13 03:03:09"
"1428",13,"2016-10-13 01:51:57"
"1429",NA,"2016-10-13 01:37:39"
"1430",11,"2016-10-13 00:45:53"
"1431",4,"2016-10-13 00:36:34"
"1432",9,"2016-10-13 00:05:54"
"1433",5,"2016-10-12 22:58:03"
"1434",4,"2016-10-12 22:11:39"
"1435",NA,"2016-10-12 21:33:51"
"1436",NA,"2016-10-12 21:31:45"
"1437",NA,"2016-10-12 21:19:16"
"1438",NA,"2016-10-12 21:04:48"
"1439",NA,"2016-10-12 20:11:04"
"1440",13,"2016-10-12 20:07:09"
"1441",NA,"2016-10-12 19:12:49"
"1442",5,"2016-10-12 17:45:43"
"1443",1,"2016-10-12 17:30:57"
"1444",NA,"2016-10-12 17:05:23"
"1445",NA,"2016-10-12 16:53:40"
