"id","assigned_to_cluster","timestamp","lon","lat",
"1133",10,"2016-10-20 15:51:16",-46.6333823,-23.5506506,
"1132",13,"2016-10-20 15:52:21",-43.9450947,-19.9227317,
"1131",10,"2016-10-20 15:55:29",-46.6333823,-23.5506506,
"1130",4,"2016-10-20 16:19:23",-58.4375796,-34.6075797,
"1129",8,"2016-10-20 16:23:09",-53.7402475,-24.7222437,
"1128",2,"2016-10-20 16:42:10",-62.1043849,-32.6946932,
"1127",NA,"2016-10-20 16:44:17",-34.8781516,-8.064193,
"1126",2,"2016-10-20 16:44:50",-64.1833189,-31.417339,
"1125",NA,"2016-10-20 16:53:10",-34.8781516,-8.064193,
"1124",10,"2016-10-20 16:58:01",-47.4580559,-23.5016669,
"1123",10,"2016-10-20 16:59:42",-47.4580559,-23.5016669,
"1122",5,"2016-10-20 17:02:48",-56.4406993,-25.4500549,
"1121",4,"2016-10-20 17:11:49",-58.4375796,-34.6075797,
"1120",NA,"2016-10-20 17:17:42",-56.09913,-15.5986685,
"1119",4,"2016-10-20 17:24:03",-56.1913568,-34.9059038,
"1118",10,"2016-10-20 17:27:42",-47.806667,-21.1783329,
"1117",NA,"2016-10-20 17:33:34",-34.8781516,-8.064193,
"1116",1,"2016-10-20 17:37:19",-74.085237657545,4.63874255,
"1115",NA,"2016-10-20 17:46:48",-65.9515545,-33.2762201,
"1114",4,"2016-10-20 18:18:15",-56.0201524,-32.8755547,
"1113",NA,"2016-10-20 18:33:27",-64.9912285,-17.0568695,
"1112",NA,"2016-10-20 18:48:43",-78.5123273,-0.220164,
"1111",10,"2016-10-20 19:50:36",-46.6333823,-23.5506506,
"1110",NA,"2016-10-20 20:32:18",-53.1999999,-10.3333332,
"1109",NA,"2016-10-20 22:25:18",-64.9912285,-17.0568695,
"1108",NA,"2016-10-20 22:38:38",-34.8781516,-8.064193,
"1107",4,"2016-10-20 22:50:10",-56.0201524,-32.8755547,
"1106",10,"2016-10-20 23:04:00",-46.6333823,-23.5506506,
"1105",NA,"2016-10-20 23:11:19",-34.8781516,-8.064193,
"1104",10,"2016-10-20 23:14:21",-48.0483259,-23.5886069,
"1103",2,"2016-10-20 23:24:24",-64.1833189,-31.417339,
"1102",NA,"2016-10-20 23:34:18",-75.5735529,6.2443382,
"1101",NA,"2016-10-21 00:11:52",-66.1139499,18.3669214,
"1100",NA,"2016-10-21 00:28:33",-38.4812771,-12.9822498,
"1099",4,"2016-10-21 00:44:02",-56.0201524,-32.8755547,
"1098",5,"2016-10-21 01:10:39",-55.8939676,-27.3664866,
"1097",12,"2016-10-21 02:28:54",-40.4165489,-20.2632019,
"1096",4,"2016-10-21 02:30:43",-58.4375796,-34.6075797,
"1095",NA,"2016-10-21 02:48:47",-53.1999999,-10.3333332,
"1094",10,"2016-10-21 03:02:04",-47.4143079,-22.7552559,
"1093",12,"2016-10-21 03:02:14",-42.8557427,-22.749623,
"1092",NA,"2016-10-21 03:39:07",-62.8299255,17.8962582,
"1091",12,"2016-10-21 04:12:05",-43.2093726,-22.9110136,
"1090",10,"2016-10-21 04:33:30",-46.8628565625111,-21.5959999,
"1089",NA,"2016-10-21 06:02:58",-76.7986428,-11.3722472,
"1088",2,"2016-10-21 06:04:43",-64.9672816,-34.9964962,
"1087",2,"2016-10-21 06:05:15",-64.9672816,-34.9964962,
"1086",3,"2016-10-21 07:18:35",-56.6775661,-36.7213328,
"1085",2,"2016-10-21 12:25:14",-64.1833189,-31.417339,
"1084",4,"2016-10-21 13:14:37",-58.4375796,-34.6075797,
"1083",4,"2016-10-21 13:15:38",-58.4375796,-34.6075797,
"1082",4,"2016-10-21 13:16:46",-58.4375796,-34.6075797,
"1081",12,"2016-10-21 14:00:18",-43.2093726,-22.9110136,
"1080",12,"2016-10-21 14:02:59",-40.3064476,-20.125296,
"1079",9,"2016-10-21 14:25:35",-49.6792205,-28.9277444,
"1078",NA,"2016-10-21 14:34:02",-58.1693444,-23.3165934,
"1077",NA,"2016-10-21 14:40:44",-73.0502464,-36.8270742,
"1076",1,"2016-10-21 16:09:55",-74.085237657545,4.63874255,
"1075",13,"2016-10-21 16:35:12",-42.5270801,-19.4777806,
"1074",NA,"2016-10-21 16:41:13",-66.1109317,8.0018709,
"1073",NA,"2016-10-21 16:47:32",-65.4101932,-24.7893822,
"1072",4,"2016-10-21 19:23:25",-58.4375796,-34.6075797,
"1071",4,"2016-10-21 19:24:28",-58.4375796,-34.6075797,
"1070",NA,"2016-10-21 20:00:39",-89.6236999,20.9671405,
"1069",NA,"2016-10-21 20:07:49",-66.8086249,10.4772529,
"1068",10,"2016-10-21 20:18:56",-47.4580559,-23.5016669,
"1067",NA,"2016-10-21 22:27:40",-66.9408584,10.5101037,
"1066",12,"2016-10-21 23:19:52",-41.7866921,-22.3712957,
"1065",2,"2016-10-21 23:36:48",-60.517197,-31.7432606,
"1064",NA,"2016-10-22 00:05:06",-48.4682452,-1.4505599,
"1063",2,"2016-10-22 01:39:48",-60.6430356770138,-31.64727895,
"1062",13,"2016-10-22 02:04:09",-43.9450947,-19.9227317,
"1061",NA,"2016-10-22 02:31:30",-103.3911246,20.7211036,
"1060",NA,"2016-10-22 02:41:39",-75.5735529,6.2443382,
"1059",12,"2016-10-22 03:55:36",-43.2093726,-22.9110136,
"1058",NA,"2016-10-22 05:14:22",-92.7747840052769,18.0271663,
"1057",NA,"2016-10-22 05:22:40",-34.8820279,-7.121598,
"1056",12,"2016-10-22 05:31:06",-41.8875266,-22.7597804,
