"id","assigned_to_cluster","timestamp"
"1921",9,"2016-09-23 20:57:06"
"1922",19,"2016-09-23 18:58:42"
"1923",2,"2016-09-23 18:15:35"
"1924",NA,"2016-09-23 17:48:25"
"1925",5,"2016-09-23 16:56:34"
"1926",2,"2016-09-23 16:24:42"
"1927",4,"2016-09-23 16:20:28"
"1928",14,"2016-09-23 16:15:25"
"1929",16,"2016-09-23 15:55:24"
"1930",13,"2016-09-23 13:42:50"
"1931",17,"2016-09-23 06:56:47"
"1932",17,"2016-09-23 06:56:01"
"1933",4,"2016-09-23 06:44:35"
"1934",8,"2016-09-23 05:52:50"
"1935",5,"2016-09-23 05:23:29"
"1936",6,"2016-09-23 05:03:13"
"1937",NA,"2016-09-23 04:48:02"
"1938",8,"2016-09-23 04:32:51"
"1939",9,"2016-09-23 04:02:40"
"1940",9,"2016-09-23 04:01:29"
"1941",8,"2016-09-23 02:56:01"
"1942",18,"2016-09-23 02:40:12"
"1943",16,"2016-09-22 23:08:31"
"1944",19,"2016-09-22 22:30:28"
"1945",NA,"2016-09-22 21:25:50"
"1946",NA,"2016-09-22 20:53:17"
"1947",NA,"2016-09-22 20:02:36"
"1948",NA,"2016-09-22 01:50:46"
"1949",9,"2016-09-22 01:02:24"
"1950",18,"2016-09-22 00:12:54"
"1951",4,"2016-09-21 23:23:55"
"1952",NA,"2016-09-21 22:53:00"
"1953",8,"2016-09-21 22:14:45"
"1954",6,"2016-09-21 22:06:28"
"1955",8,"2016-09-21 22:05:41"
"1956",18,"2016-09-21 20:33:24"
"1957",18,"2016-09-21 18:41:55"
"1958",2,"2016-09-21 18:17:47"
"1959",NA,"2016-09-21 17:53:13"
"1960",15,"2016-09-21 17:25:18"
"1961",15,"2016-09-21 16:59:11"
"1962",8,"2016-09-21 16:19:28"
"1963",NA,"2016-09-21 15:34:04"
"1964",NA,"2016-09-21 15:10:45"
"1965",NA,"2016-09-21 14:22:52"
"1966",NA,"2016-09-21 11:32:49"
"1967",11,"2016-09-21 01:53:49"
"1968",18,"2016-09-21 01:08:43"
"1969",NA,"2016-09-21 00:57:15"
"1970",18,"2016-09-21 00:16:28"
"1971",6,"2016-09-21 00:01:41"
"1972",18,"2016-09-20 23:00:56"
"1973",16,"2016-09-20 22:17:45"
"1974",NA,"2016-09-20 22:06:02"
"1975",16,"2016-09-20 21:00:51"
"1976",16,"2016-09-20 20:37:11"
"1977",NA,"2016-09-20 20:05:10"
"1978",13,"2016-09-20 19:29:24"
"1979",NA,"2016-09-20 19:13:01"
"1980",NA,"2016-09-20 17:59:58"
"1981",16,"2016-09-20 17:19:53"
"1982",5,"2016-09-20 16:55:01"
"1983",2,"2016-09-20 16:49:19"
"1984",NA,"2016-09-20 01:57:42"
"1985",NA,"2016-09-20 01:45:44"
"1986",NA,"2016-09-20 01:34:38"
"1987",18,"2016-09-20 01:13:56"
"1988",14,"2016-09-20 00:53:06"
"1989",18,"2016-09-20 00:48:01"
"1990",8,"2016-09-20 00:26:19"
"1991",NA,"2016-09-19 23:43:42"
"1992",NA,"2016-09-19 23:39:49"
"1993",13,"2016-09-19 23:00:15"
"1994",5,"2016-09-19 21:18:33"
"1995",18,"2016-09-19 21:14:47"
"1996",13,"2016-09-19 20:54:03"
"1997",16,"2016-09-19 20:51:14"
"1998",14,"2016-09-19 20:30:01"
"1999",18,"2016-09-19 18:52:52"
"2000",NA,"2016-09-19 18:25:34"
"2001",8,"2016-09-19 18:20:59"
"2002",13,"2016-09-19 18:20:12"
"2003",12,"2016-09-19 17:28:29"
"2004",15,"2016-09-19 16:59:47"
"2005",16,"2016-09-19 16:45:40"
"2006",16,"2016-09-19 16:11:24"
