id,lon,lat,weight,clusterStart,clusterEnd
1,-103,19,0.0625544676,2016-09-21 00:16:28,2016-09-29 22:53:00
2,-93,19,0.0606798657,2016-09-21 00:16:28,2016-09-29 22:53:00
3,-75,5,0.0941426833,2016-09-21 00:16:28,2016-09-29 22:53:00
4,-75,7,0.1210213556,2016-09-21 00:16:28,2016-09-29 22:53:00
5,-73,11,1,2016-09-21 00:16:28,2016-09-29 22:53:00
6,-69,-43,0.0574531099,2016-09-21 00:16:28,2016-09-29 22:53:00
7,-67,11,0.1380966282,2016-09-21 00:16:28,2016-09-29 22:53:00
8,-67,19,0.5168855108,2016-09-21 00:16:28,2016-09-29 22:53:00
9,-65,-31,0.2341356732,2016-09-21 00:16:28,2016-09-29 22:53:00
10,-63,-23,0.0480412223,2016-09-21 00:16:28,2016-09-29 22:53:00
11,-61,-33,0.0112481639,2016-09-21 00:16:28,2016-09-29 22:53:00
12,-59,-35,0.3053848441,2016-09-21 00:16:28,2016-09-29 22:53:00
13,-59,-3,0.0713801462,2016-09-21 00:16:28,2016-09-29 22:53:00
14,-57,-37,0.0206240263,2016-09-21 00:16:28,2016-09-29 22:53:00
15,-55,-35,0.4529739531,2016-09-21 00:16:28,2016-09-29 22:53:00
16,-55,-21,0.5898173098,2016-09-21 00:16:28,2016-09-29 22:53:00
17,-49,-27,0.6097042449,2016-09-21 00:16:28,2016-09-29 22:53:00
18,-49,-25,0.0421011816,2016-09-21 00:16:28,2016-09-29 22:53:00
19,-49,-1,0.3696426334,2016-09-21 00:16:28,2016-09-29 22:53:00
20,-47,-23,0.1884653922,2016-09-21 00:16:28,2016-09-29 22:53:00
21,-45,-3,0.0369249865,2016-09-21 00:16:28,2016-09-29 22:53:00
22,-43,-23,0.0151889965,2016-09-21 00:16:28,2016-09-29 22:53:00
23,-43,-21,1.6443466326,2016-09-21 00:16:28,2016-09-29 22:53:00
24,-43,-19,1.2017829796,2016-09-21 00:16:28,2016-09-29 22:53:00
25,-35,-9,0.1578604397,2016-09-21 00:16:28,2016-09-29 22:53:00
