id,assigned_to_cluster,timestamp,lon,lat,clusterStart,clusterEnd
1521,NA,2016-10-07 17:49:41,-66.8558794,-29.412741,2016-10-07 17:49:41,2016-10-13 23:44:13
1520,5,2016-10-07 18:13:07,-79.3666964,-1.3397667,2016-10-07 17:49:41,2016-10-13 23:44:13
1519,NA,2016-10-07 19:05:38,-77.8801919108,-2.4303096,2016-10-07 17:49:41,2016-10-13 23:44:13
1518,NA,2016-10-07 19:33:21,-48.5251853,-25.5121903,2016-10-07 17:49:41,2016-10-13 23:44:13
1517,12,2016-10-07 21:13:34,-54.4315256,-26.7372239,2016-10-07 17:49:41,2016-10-13 23:44:13
1516,10,2016-10-07 21:23:28,-58.6480317,-34.7692489,2016-10-07 17:49:41,2016-10-13 23:44:13
1515,NA,2016-10-07 21:27:24,-43.3501128,-21.7609532,2016-10-07 17:49:41,2016-10-13 23:44:13
1514,12,2016-10-07 23:00:14,-55.8333329,-26.8333329,2016-10-07 17:49:41,2016-10-13 23:44:13
1513,NA,2016-10-07 23:18:11,-74.0852376575,4.63874255,2016-10-07 17:49:41,2016-10-13 23:44:13
1512,NA,2016-10-07 23:41:54,-53.8069213,-29.6860511,2016-10-07 17:49:41,2016-10-13 23:44:13
1511,NA,2016-10-07 23:59:44,-44.0840952,-19.9132748,2016-10-07 17:49:41,2016-10-13 23:44:13
1510,NA,2016-10-08 00:04:12,-57.6311195,-25.2959915,2016-10-07 17:49:41,2016-10-13 23:44:13
1509,14,2016-10-08 01:25:02,-53.1999999,-10.3333332,2016-10-07 17:49:41,2016-10-13 23:44:13
1508,NA,2016-10-08 02:30:42,-66.9408584,10.5101037,2016-10-07 17:49:41,2016-10-13 23:44:13
1507,NA,2016-10-08 03:12:15,-74.1845473126,-7.89646185,2016-10-07 17:49:41,2016-10-13 23:44:13
1506,21,2016-10-08 03:25:19,-43.2093726,-22.9110136,2016-10-07 17:49:41,2016-10-13 23:44:13
1505,NA,2016-10-08 03:27:28,-81.3066245,8.3096067,2016-10-07 17:49:41,2016-10-13 23:44:13
1504,NA,2016-10-08 04:45:57,-52.3411542,-31.7700103,2016-10-07 17:49:41,2016-10-13 23:44:13
1503,NA,2016-10-08 05:56:33,-89.6236999,20.9671405,2016-10-07 17:49:41,2016-10-13 23:44:13
1502,NA,2016-10-08 06:21:07,-54.5763081,-25.5208725,2016-10-07 17:49:41,2016-10-13 23:44:13
1501,12,2016-10-08 06:48:48,-55.8333329,-26.8333329,2016-10-07 17:49:41,2016-10-13 23:44:13
1500,19,2016-10-08 11:28:59,-46.5244589,-23.4430601,2016-10-07 17:49:41,2016-10-13 23:44:13
1499,10,2016-10-08 13:26:00,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1498,19,2016-10-08 14:29:08,-46.3338889,-23.9608329,2016-10-07 17:49:41,2016-10-13 23:44:13
1497,1,2016-10-08 14:47:45,-103.4005095638,20.48187375,2016-10-07 17:49:41,2016-10-13 23:44:13
1496,1,2016-10-08 15:03:03,-103.4005095638,20.48187375,2016-10-07 17:49:41,2016-10-13 23:44:13
1495,NA,2016-10-08 15:08:51,-51.2050448,-30.0488354,2016-10-07 17:49:41,2016-10-13 23:44:13
1494,10,2016-10-08 16:15:58,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1493,10,2016-10-08 16:26:17,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1492,21,2016-10-08 16:46:14,-43.4033602,-22.7667283,2016-10-07 17:49:41,2016-10-13 23:44:13
1491,10,2016-10-08 16:49:56,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1490,NA,2016-10-08 16:59:01,-57.6311195,-25.2959915,2016-10-07 17:49:41,2016-10-13 23:44:13
1489,10,2016-10-08 17:14:29,-58.4375796,-34.6075797,2016-10-07 17:49:41,2016-10-13 23:44:13
1488,NA,2016-10-08 18:10:22,-56.1322179,-15.6458159,2016-10-07 17:49:41,2016-10-13 23:44:13
1487,22,2016-10-08 19:21:15,-43.9450947,-19.9227317,2016-10-07 17:49:41,2016-10-13 23:44:13
1486,21,2016-10-08 19:27:51,-43.2093726,-22.9110136,2016-10-07 17:49:41,2016-10-13 23:44:13
1485,21,2016-10-08 20:42:39,-43.2093726,-22.9110136,2016-10-07 17:49:41,2016-10-13 23:44:13
1484,18,2016-10-08 21:26:11,-49.253269,-16.6808819,2016-10-07 17:49:41,2016-10-13 23:44:13
1483,16,2016-10-08 22:53:32,-51.4610763,-23.5525326,2016-10-07 17:49:41,2016-10-13 23:44:13
1482,NA,2016-10-08 22:55:25,-57.8828666,-34.8688564,2016-10-07 17:49:41,2016-10-13 23:44:13
1481,NA,2016-10-08 23:41:50,-51.2304999,-30.0329999,2016-10-07 17:49:41,2016-10-13 23:44:13
1480,NA,2016-10-08 23:56:53,-54.6162946,-20.4640172,2016-10-07 17:49:41,2016-10-13 23:44:13
1479,NA,2016-10-09 00:00:21,-54.6162946,-20.4640172,2016-10-07 17:49:41,2016-10-13 23:44:13
